Municipio_ocurrencia,COD_MUN_O,anos_con_casos,casos_acumulados
CALI,001,18,157649
IBAGUE,001,18,55884
MEDELLIN,001,18,55646
BUCARAMANGA,001,18,51255
VILLAVICENCIO,001,18,47916
CUCUTA,001,18,44967
BARRANQUILLA,001,18,43921
NEIVA,001,18,34993
CARTAGENA,001,18,28403
FLORIDABLANCA,276,18,28253
PALMIRA,520,18,22723
SINCELEJO,001,18,21971
VALLEDUPAR,001,18,19236
ARMENIA,001,18,17427
PEREIRA,001,18,17080
YOPAL,001,18,16391
MONTERIA,001,18,15650
SOLEDAD,758,18,14381
GIRON,307,18,13905
PIEDECUESTA,547,18,13723
ACACIAS,006,18,12141
ESPINAL,268,18,11978
SANTA MARTA,001,18,10989
TULUA,834,18,10984
BUGA,111,18,10326
YUMBO,892,18,9936
PITALITO,551,18,9779
GIRARDOT,307,18,9482
BARRANCABERMEJA,081,18,9451
CARTAGO,147,18,8738
JAMUNDI,364,17,8462
ITAGUI,360,17,8336
GARZON,298,18,7141
VILLA DEL ROSARIO,874,18,6982
DOSQUEBRADAS,170,18,6962
MELGAR,449,18,6648
AGUACHICA,011,18,6646
FUSAGASUGA,290,18,6521
RIOHACHA,001,18,6449
LOS PATIOS,405,18,6441
FLORIDA,275,18,6430
BELLO,088,18,5995
FLORENCIA,001,14,5909
SAN GIL,679,18,5774
LETICIA,001,18,5738
AGUAZUL,010,18,5618
CHAPARRAL,168,18,5493
OCAÑA,498,18,5276
GRANADA,313,18,5271
SARAVENA,736,18,5118
SAN JOSE DEL GUAVIARE,001,18,4940
CALARCA,130,18,4927
ARAUCA,001,18,4850
TUMACO,835,18,4813
LIBANO,411,18,4686
CANDELARIA,130,17,4654
MARIQUITA,443,18,4639
PUERTO LOPEZ,573,18,4303
VILLETA,875,18,4300
POPAYAN,001,18,4271
MALAMBO,433,18,4142
NILO,488,18,4110
GUAMO,319,18,4096
MAGANGUE,430,18,4075
SAN VICENTE DEL CAGUAN,753,18,4031
MONTENEGRO,470,18,3831
LA UNION,400,18,3828
BUENAVENTURA,109,18,3828
LA PLATA,396,18,3806
SANTA ROSA DEL SUR,688,18,3789
QUIMBAYA,594,18,3716
EL CARMEN DE BOLIVAR,244,18,3697
LA MESA,386,18,3625
MOCOA,001,18,3585
ORITO,320,18,3565
MAICAO,430,18,3536
PAZ DE ARIPORO,250,18,3359
TURBACO,836,18,3350
SANTANDER DE QUILICHAO,698,18,3328
ENVIGADO,266,18,3327
APARTADO,045,18,3267
VALLE DEL GUAMUEZ,865,18,3248
EL CERRITO,248,18,3236
PUERTO ASIS,568,18,3190
SAMPUES,670,18,3147
CURUMANI,228,18,3139
LA TEBAIDA,401,18,3127
SOCORRO,755,18,3088
TURBO,837,17,2915
LORICA,417,18,2868
SAN MARTIN,689,18,2852
LEBRIJA,406,18,2817
ZARZAL,895,18,2761
PALERMO,524,18,2740
SAN MARCOS,708,18,2738
GUAMAL,318,18,2725
ARJONA,052,18,2715
COROZAL,215,18,2712
VILLANUEVA,440,14,2683
DAGUA,233,18,2676
ARAUQUITA,065,18,2654
TAURAMENA,410,18,2644
LA DORADA,380,18,2615
CUMARAL,226,18,2581
CASTILLA LA NUEVA,150,18,2565
TIBU,810,18,2554
EL COLEGIO,245,18,2554
SABANALARGA,638,18,2508
AGUSTIN CODAZZI,013,18,2507
SABANA DE TORRES,655,18,2469
LERIDA,408,18,2446
VILLAGARZON,885,18,2446
PUERTO GAITAN,568,18,2443
RESTREPO,606,18,2424
TAME,794,18,2332
HONDA,349,18,2320
BARANOA,078,18,2315
CAMPOALEGRE,132,18,2304
RIVERA,615,18,2270
CIMITARRA,190,18,2244
EXTERIOR_VENEZUELA,862,18,2211
ALGECIRAS,020,18,2204
PUERTO BOYACA,572,18,2198
AIPE,016,18,2180
FLANDES,275,14,2134
FORTUL,300,18,2130
COPACABANA,212,17,2122
PRADERA,563,18,2117
SAHAGUN,660,18,2062
PUERTO GUZMAN,571,18,2039
GALAPA,296,18,2031
SEVILLA,736,18,2029
VILLANUEVA,874,18,2017
EL BAGRE,250,18,2012
EL ZULIA,261,18,2006
ROLDANILLO,622,18,1980
FUNDACION,288,18,1968
MOMPOS,468,18,1912
PURIFICACION,585,18,1896
TIMANA,807,18,1888
COYAIMA,217,18,1867
MONTELIBANO,466,18,1843
SALDAÑA,671,18,1835
TIERRALTA,807,18,1830
ITSMINA,361,18,1828
SAN JUAN NEPOMUCENO,657,18,1816
PUERTO INIRIDA,001,18,1803
VALENCIA,855,18,1772
ANAPOIMA,035,18,1761
NECOCLI,490,17,1761
QUIBDO,001,18,1759
CAUCASIA,154,17,1754
GUACARI,318,18,1749
LA VIRGINIA,400,18,1741
VISTAHERMOSA,711,18,1741
SAN ANDRES,001,18,1694
PUEBLO NUEVO,570,18,1663
SAN JUAN DEL CESAR,650,18,1659
URIBIA,847,18,1640
FUENTE DE ORO,287,17,1636
ANSERMANUEVO,041,18,1635
SAN ALBERTO,710,18,1619
ABREGO,003,18,1613
OVEJAS,508,18,1608
BARBOSA,077,18,1604
PLANETA RICA,555,18,1580
ROVIRA,624,18,1576
TOLU,820,18,1570
TOCAIMA,815,18,1563
LA JAGUA DE IBIRICO,400,18,1553
CIENAGA,189,18,1552
SAN VICENTE DE CHUCURI,689,18,1547
ORTEGA,504,18,1533
ALVARADO,026,18,1522
CERETE,162,18,1511
ARMERO (GUAYABAL),055,18,1506
SAN AGUSTIN,668,18,1492
CALOTO,142,17,1491
BELEN DE UMBRIA,088,18,1482
CHIGORODO,172,17,1471
MONIQUIRA,469,17,1460
BARBOSA,079,17,1456
CIRCASIA,190,18,1454
PUERTO CARREÑO,001,18,1435
VIJES,869,18,1430
SAN ANTONIO,675,18,1425
TARQUI,791,17,1420
PUERTO COLOMBIA,573,18,1405
CAICEDONIA,122,18,1390
SAN MIGUEL (LA DORADA),757,18,1383
SAN LUIS,678,18,1363
FRESNO,283,18,1359
TRUJILLO,828,18,1350
RIONEGRO,615,18,1342
CAREPA,147,18,1339
ANTIOQUIA,042,18,1332
CHINCHINA,174,18,1328
ATACO,067,18,1313
MONTERREY,162,18,1312
LA VEGA,402,18,1306
SAN CARLOS DE GUAROA,680,18,1289
PUERTO RICO,592,18,1280
PUERTO LIBERTADOR,580,18,1272
GINEBRA,306,17,1248
PUERTO BERRIO,579,18,1246
CHIRIGUANA,178,18,1243
PUERTO LEGUIZAMO,573,18,1243
SAN MARTIN,770,13,1225
CARMEN DE APICALA,148,18,1213
GIGANTE,306,18,1211
MANI,139,18,1207
ROBLES (LA PAZ),621,18,1205
ARIGUANI (EL DIFICIL),058,18,1203
TIQUISIO (PUERTO RICO),810,18,1203
NECHI,495,16,1199
PAILITAS,517,17,1198
SEGOVIA,736,17,1193
EL PLAYON,255,18,1193
SANTA ROSA DE CABAL,682,17,1187
PLATO,555,17,1181
MIRANDA,455,16,1181
GUADALUPE,319,18,1175
PUERTO SALGAR,572,18,1174
MALAGA,432,18,1171
GUADUAS,320,18,1162
CHINU,182,18,1159
